"","left","right"
"bankssts","0.15***","0.18***"
"caudalanteriorcingulate","0.04   ","0   "
"caudalmiddlefrontal","0.07*  ","0.14***"
"cuneus","-0.34***","-0.3***"
"entorhinal","0.09** ","0.02   "
"frontalpole","0   ","-0.08*  "
"fusiform","0.32***","0.34***"
"inferiorparietal","-0.03   ","-0.02   "
"inferiortemporal","0.3***","0.35***"
"insula","-0.07*  ","-0.14***"
"isthmuscingulate","-0.23***","-0.16***"
"lateraloccipital","-0.18***","-0.1***"
"lateralorbitofrontal","0.14***","0   "
"lingual","-0.33***","-0.27***"
"medialorbitofrontal","-0.19***","-0.2***"
"middletemporal","0.27***","0.28***"
"paracentral","-0.08*  ","-0.01   "
"parahippocampal","0.06*  ","0   "
"parsopercularis","0.06*  ","-0.04   "
"parsorbitalis","0.12***","0.11***"
"parstriangularis","0.01   ","0.03   "
"pericalcarine","-0.46***","-0.46***"
"postcentral","-0.11***","-0.19***"
"posteriorcingulate","-0.03   ","-0.12***"
"precentral","-0.05   ","0.03   "
"precuneus","0.02   ","0.05   "
"rostralanteriorcingulate","-0.05   ","0   "
"rostralmiddlefrontal","0.05   ","-0.02   "
"superiorfrontal","0.02   ","-0.01   "
"superiorparietal","-0.11***","-0.06*  "
"superiortemporal","0.2***","0.2***"
"supramarginal","-0.07*  ","-0.08** "
"temporalpole","0.3***","0.29***"
"transversetemporal","-0.23***","-0.18***"
